ID,Language_ID,Headword,Part_Of_Speech,Abstract_Noun,Agentive_Noun,Alternative_Form,Associated_Phrasemes,Attributive,Contains,Dialectal_Distribution,Diffusive_Form,Entry_IDs,Etymology,Infinitive,MarkedPossession,Morphological_Segmentation,NonPossessed_Form,Phonetic_Form,Plural,Possessed_Plural,Predictable_Dialectal_Variants,Related_Dialectal_Form,Source,Variant_Form
TSE00011,tzh,a,part.,,,,,,,,,,,,,,,,,,,,,
TSE00021,tzh,a,part.,,,,,,,,,,,,,,,,,,,,,
TSE00031,tzh,a,aux.,,,,,,,,,,,,,,,,,,,,,
TSE00041,tzh,a',n2.,,,,,,,,,,,,,,-il,,,,,,,
TSE00051,tzh,a'al,n2.,,,,,,,,,,de [ha'](TSE16711),,,(h)a' -al,,,,,,,,
TSE00052,tzh,a'lel,n2.,,,,,,,,,,,,,(h)a' -al,,,,,,,,
TSE00061,tzh,a'an,agt.i.v.,,,,,,,,,,,,,a'iy -an,,,,,,,,
TSE00071,tzh,a'an,t.v.,,,,,,,,,TSE00061,,,,a'iy -an,,,,,,,,
TSE00081,tzh,abak,n.,,,,,,,,,,,,"-il, -ul",,,,,,,,,
TSE00091,tzh,abaktik,diff.adj.,,,,,,TSE00081,,,,,,,abak -tik,,,,,,,,
TSE00101,tzh,abakub,i.v.,,,,,,TSE00081,,,,,,,abak -ub,,,,,,,,
TSE00111,tzh,abakubtes,t.v.,,,,,,TSE00101,,,,,,,abak -ub -tes,,,,,,,,
TSE00121,tzh,abat,n.,,,,,,,,,,,,,,,,,,,,,
TSE00131,tzh,abat,act.n.,,,,,,,"Petalcingo, Yajalón",,TSE00121 ; TSE00151,,,,,,,,,,,,
TSE00141,tzh,abatin,t.v.,,,,,,TSE00121,,,,,,,abat -in,,,,,,,,
TSE00151,tzh,abatin,agt.i.v.,,,,,,TSE00121,"Bachajón, Oxchuc, Petalcingo, Yajalón",,,,"Petalcingo, Yajalón [abat](TSE00131) (o infinitivo regular con <-el>)",,abat -in,,,,,,,,
TSE00161,tzh,abenal,n2.,,,abinal,,,,,,TSE75441,de [haben](TSE00162) + <-al> (pérdida de /h/ después del prefijo posesivo <y->),,,aben -al,,,,,,,,
TSE00162,tzh,haben,n.,,,,,,,,,TSE00161 ; TSE14621 ; TSE17101,,,,,,,,,,,,
TSE00171,tzh,abi,part.,,,,,,,,,,,,,,,,,,,,,
TSE00181,tzh,abiyan,agt.i.v./t.v.,,,,,,,"Amatenango, Villa Las Rosas",,TSE03231,,,,abiy -an,,,,,,,,"Villa Las Rosas <abeyan, abyan>"
TSE00191,tzh,abuy,n.,,,,,,,"Cancuc, Tenejapa",,TSE42991 ; TSE72721,,,-il,,,,,,,formas relacionadas: Aguacatenango <abu>; Yajalón <aburia> (<abúria>),,Tenejapa <x'abuy>
TSE00201,tzh,ach,adj.,,,,,,,"Bachajón, Guaquitepec",,,,,,,,,,,,Cancuc [ach'i](TSE00202); Oxchuc [aech](TSE00203),,
TSE00202,tzh,ach'i,adj.,,,,,,,Cancuc,,TSE00201,,,,,,,,,,,,
TSE00203,tzh,aech,adj.,,,,,,,Oxchuc,,TSE00201,,,,,,,,,,,,
TSE00211,tzh,ach',attr.adj.,"-il, -ilal, -ilul, -ilel",,,,,,,[ach'-ach'tik](TSE00212),TSE75461,,,,,,,,,,,,
TSE00212,tzh,ach'-ach'tik,diff.adj.,,,,,,TSE00211,,,,,,,ach' -REDUPL:C1VC2 -tik,,,,,,,,
TSE00221,tzh,ach',adv.,,,,,,,,,,de [ach'](TSE00211),,,,,,,,,,,
TSE00231,tzh,a'chih,n.,,,,,,TSE00041 ; TSE11451,Bachajón,,,,,"-al, -ul",a' + chih,,,,,,Amatenango [jojk'anibal](TSE24411); Petalcingo [alabak'](TSE01751); Oxchuc [awilak'](TSE03021); Villa Las Rosas [alawak'](TSE01891); Yajalón <aulak'>,,
TSE00241,tzh,ach'ix,n.,,,,,,,,,,,,[ach'ixal](TSE00251),"ach' 'nuevo' + ix 'mujer' (""mujer nueva"")",,,,-tak; Bachajón -ab,,,,
TSE00242,tzh,ach'ix,n2.,,,,,,,"Center (-Tenejapa), North",,,de [ach'ix](TSE00241),,,,,,,-tak; Bachajón -ab,,"North (-Petalcingo, -Yajalón) [lekol](TSE36681); Abasolo [ch'ail](TSE08691); Aguacatenango [trata](TSE61501); Amatenango [chan](TSE09451); Cancuc, Petalcingo, Sibakja’ [ants](TSE02381); Chilón, Petalcingo, Yajalón [bats'ik'op](TSE04661); Oxchuc <maken>; Cancuc, San Pedro Pedernal, Tenejapa [makem](TSE40021); Villa Las Rosas [lekbil ants](TSE36621)",,
TSE00251,tzh,ach'ixal,n2.,,,"ach'ixil, ach'ixlel, ach'ixul",,,TSE00241,,,,,,,ach'ix -al,"ach'ixalil, ach'ixilal",,,,,"<ach'ixal>: Center, Guaquitepec, Petalcingo, Villa Las Rosas; <ach'ixil>: Center, North; <ach'ixlel>: Bachajón, Petalcingo, Sitalá, Yajalón; <ach'ixul>: Tenejapa",,
TSE00261,tzh,ach'ixin,t.v.,,,,,,TSE00241,,,,,,,ach'ix -in,,,,,,,,
TSE00271,tzh,ach'ixub,i.v.,,,,,,TSE00241,,,,,,,ach'ix -ub,,,,,,,,
TSE00281,tzh,ach'ub,i.v.,,,,,,TSE00211,,,TSE00291,,,,ach' -ub,,,,,,,,
TSE00291,tzh,ach'uben to nax,adv.phr.(i.v.+part.),,,,,,TSE00281 ; TSE44201 ; TSE60171,,,,,,,,,,,,,,,
TSE00301,tzh,ach'ubtes,t.v.,,,,,,TSE00281,,,,,,,ach' -ub -tes,,,,,,Amatenango <ach'utes>,,
TSE00311,tzh,aelmeel,n.,,,,,,,Oxchuc,,,de [anima](TSE02291) + <-il>,,,,,,,,,,,"aelmel, elmel"
TSE00321,tzh,ahaltay,t.v.,,,,,,,"Bachajón, Petalcingo",,,,,,ahal -tay,,,,,alternancia -Y: <ahalta>,,,
TSE00331,tzh,ahanil,rel.n.,,,,,,,Petalcingo,,TSE00691,,,,ahan -il,,,,,,,,
TSE00341,tzh,ahb,n.,,,,,,,"Bachajón, Petalcingo, Yajalón",,,,,,,,,,,alternancia H: <ab>,otros geolectos [jalal](TSE20791),,
TSE00351,tzh,ahbaltik,coll.,,,,,,TSE00341,"Petalcingo, Yajalón",,,,,,ahb -al -tik,,,,,alternancia H: Yajalón <abaltik>,Bachajón [ahbiltik](TSE00361),,
TSE00361,tzh,ahbiltik,coll.,,,,,,TSE00341,Bachajón,,,,,,ahb -il -tik,,,,,,"Petalcingo, Yajalón [ahbaltik](TSE00351)",,
TSE00371,tzh,ahch',i.v.,,,,,,,,,,,,,,,,,,"alternancia H: <ajch', ach'>","Abasolo, Oxchuc, San Pedro Pedernal, var. Bachajón [t'ux](TSE67931); Aguacatenango [k'ojts](TSE31861)",,
TSE00381,tzh,ahch'al,n.,,,,,,TSE00371,,,,,,[ahch'alel](TSE00382),ahch' -al,,,,,"alternancia H: <ajch'al, ach'al>",,,
TSE00382,tzh,ahch'alel,n2.,,,,,,TSE00381,,,,,,,ahch' -al -el,,,,,"alternancia H: <ajch'alel, ach'alel>",,,"ahch'alil, ahch'alul"
TSE00383,tzh,ahch'al nah,n.,,,,,,TSE00381 ; TSE43351,Petalcingo,,TSE47193,,,,ahch' -al + nah,,,,,,,,
TSE00391,tzh,ahch'al,n2.,,,,,,,,,,de [ahch'al](TSE00381),,,ahch' -al,-il,,,,"alternancia H: <ajch'al, ach'al>",Petalcingo [tsuhkum](TSE65211),,
TSE00401,tzh,ahch'aleltik,coll.,,,,,,TSE00381,,,,,,,ahch' -al -el -tik,,,,,"alternancia H: <ajch'aleltik,...>",Villa Las Rosas [ach'alaltik](TSE00402),,
TSE00402,tzh,ach'alaltik,coll.,,,,,,,Villa Las Rosas,,TSE00401,,,,ach' -al -al -tik,,,,,,,,
TSE00411,tzh,ahch'altik,diff.adj.,,,,,,TSE00381,,,,,,,ahch' -al -tik,,,,,"alternancia H: <ajch'altik, ach'altik>",,,
TSE00421,tzh,ahch'alub,i.v.,,,,,,TSE00381,,,,,,,ahch' -al -ub,,,,,"alternancia H: <ajch'alub, ach'alub>",,,
TSE00431,tzh,ahch'alubtes,t.v.,,,,,,TSE00421,,,,,,,ahch' -al -ub -tes,,,,,"alternancia H: <ajch'alubtes, ach'alubtes>",Amatenango <ajch'altes>,,
TSE00441,tzh,ahk,n.,,,,,,,,,,,,,,,,,,alternancia H: <ajk>,,,
TSE00451,tzh,ahk'abal,n.,,,,,,,,,,,,"-il, -ul",ahk'ab -al,,,,,"alternancia H: <ajk'abal, ak'abal>","Center, Amatenango [ajk'ubal](TSE01151); var. Cancuc <ajk'obal>; var. Oxchuc <ajk'bal>; Villa Las Rosas <ak'obal, ak'abal>",,
TSE00461,tzh,ahk'abaltik,adv.,,,,,,TSE00451,,,,,,,ahk'ab -al -tik,,,,,"alternancia H: <ajk'abaltik, ak'abaltik>","Amatenango, Tenejapa [ajk'ubaltik](TSE01171); Oxchuc <ajk'tik, ajk'baltik>",,
TSE00471,tzh,ahk'abey,adv.,,,,,,,"North, Cancuc, Villa Las Rosas",,,,,,ahk'ab -ey,,,,,"alternancia H, -Y: <ajk'abey, ajk'abe, ak'abey,...>","Center, Amatenango [ajk'ubey](TSE01181); var. Cancuc <ajk'obey>; var. Oxchuc <ajk'bey>; Tenejapa <ajk'ube>",,
TSE00481,tzh,ahkan,n.,,,,,,,,,,,,"-il, -ul",,,,,,"alternancia H: <ajkan, ajk'an>",,,
TSE00491,tzh,ahkan,act.n.,,,,,,,,,TSE00481 ; TSE00501,,,,,,,,,"alternancia H: <ajkan, ajk'an>",,,
TSE00501,tzh,ahkanaj,agt.i.v.,,,,,,TSE00481,,,,,[ahkan](TSE00491) (o infinitivo regular con <-el>),,ahkan -aj,,,,,"alternancia H: <ajkanaj, akanaj>",Oxchuc <ajk'naj>,,
TSE00511,tzh,ahk'ol,adv.,,,,,,,,,,,,,,,,,,"alternancia H: <ajk'ol, ak'ol>","Abasolo, Guaquitepec, Oxchuc, San Pedro Pedernal, Tenango [kajal](TSE27651)",,
TSE00521,tzh,ahk'ol,rel.n.,,,,,,,,,TSE00511,,,,,,,,,"alternancia H: <ajk'ol, ak'ol>",,,
TSE00531,tzh,ahk'ol k'inal,n.,,,,,,TSE30901,,,,,,,ahk'ol + k'in -al,,,,,"alternancia H: <ajk'ol k'inal,...>",,,
TSE00541,tzh,ahk'olal,rel.n.,,,,,,TSE00521,,,,,,,ahk'ol -al,,,,,"alternancia H: <ajk'olal, ak'olal>",Amatenango [bah](TSE03501); Oxchuc [ajk'lal](TSE00542),,
TSE00542,tzh,ajk'lal,rel.n.,,,,,,,Oxchuc,,TSE00541,,,,,,,,,,,,
TSE00551,tzh,ahk'ot,n.,,,,,,,,,TSE01141 ; TSE29461,,,-il,,,,,,"alternancia H: <ajk'ot, ak'ot>",,,
TSE00561,tzh,ahk'ot,act.n.,,,,,,,,,TSE00551 ; TSE00571,,,,,,,,,"alternancia H: <ajk'ot, ak'ot>",,,
TSE00571,tzh,ahk'otaj,agt.i.v.,,,,,,TSE00551,,,,,[ahk'ot](TSE00561),,ahk'ot -aj,,,,,"alternancia H: <ajk'otaj, ak'otaj>","Abasolo, Aguacatenango, Oxchuc <ajk'taj>",,
TSE00581,tzh,ahk'otal,act.n.,,,,,,TSE00551,"Cancuc, Petalcingo, Tenango",,TSE00571,,,,ahk'ot -al,,,,,alternancia H: <ajk'otal>,,,
TSE00591,tzh,ahk'otan,t.v.,,,,,,TSE00551,"Guaquitepec, Petalcingo, Tenejapa, Villa Las Rosas",,TSE00601,,,,ahk'ot -an,,,,,"alternancia H: <ajk'otan, ak'otan>",,,
TSE00601,tzh,ahk'otay,t.v.,,,,,,TSE00551,North,,,,,,ahk'ot -tay,,,,,"alternancia H, -Y: <ajk'otay, ak'otay, ahk'ota,...>","Amatenango <ajk'otesin>; Cancuc <ajk'otin>; Oxchuc <ajk'tan>; var. Petalcingo [ahk'otin](TSE00631); Tenejapa <ajk'otan>, <ajk'otin>; Villa Las Rosas <ak'otan>",,
TSE00611,tzh,ahk'otes,t.v.,,,,,,TSE00561,,,,,,,ahk'ot -tes,,,,,"alternancia H: <ajk'otes, ak'otes>","Amatenango, Cancuc <ajk'otesin>; Oxchuc <ajk'tes>; var. Tenejapa <ajk'otesan>",,
TSE00621,tzh,ahk'otin,agt.i.v.,,,,,,TSE00551,Petalcingo,,TSE00571,,,,ahk'ot -in,,,,,,,,
TSE00631,tzh,ahk'otin,t.v.,,,,,,TSE00551,"Cancuc, Petalcingo, Tenejapa",,TSE00601,,,,ahk'ot -in,,,,,alternancia H: <ajk'otin>,,,
TSE00641,tzh,ahlan,adv.,,,,,,,,,,,,[ahlanil](TSE00691),,,,,,alternancia H: <alan>,,,
TSE00651,tzh,ahlan k'inal,n.,,,,,,TSE30901,,,,,,,ahlan + k'in -al,,,,,alternancia H: <alan k'inal>,,,
TSE00661,tzh,ahlanij,i.v.,,,,[ahlanij yo'tan](TSE00681); [ahlanij k'inal ya ya'iy](TSE00671),,TSE00641,,,,,,,ahlan -ij,,,,,"alternancia H, -Vj: <alanej>",,,
TSE00671,tzh,ahlanij k'inal ya ya'iy,phr.(i.v.+subj.NP+VP),,,,,,TSE00661 ; TSE30901,,,,,,,,,,,,,,,
TSE00681,tzh,ahlanij yo'tan,phr.(i.v.+subj.NP),,,,,,TSE00661 ; TSE46881,,,,,,,,,,,,,,,
TSE00691,tzh,ahlanil,rel.n.,,,,,,TSE00641,,,,,,,ahlan -il,,,,,alternancia H: <alanil>,"Petalcingo: se suele reducir a [ahanil](TSE00331); Center, South: reducción casi sistemática a [anil](TSE02281); var. Bachajón <ahlanul>; Villa Las Rosas <alanul>",,
TSE00701,tzh,ahmaj,i.v.,,,,,,,,,,,,,ahm -aj,,,,,alternancia H: <amaj>,,,
TSE00711,tzh,ahn,i.v.,,,,,,,,,,,,,,,,,,alternancia H: <an>,,,
TSE00721,tzh,ahnel,n./act.n.,,,,,,TSE00711,,,,,,,ahn -el,,,,,alternancia H: <anel>,,,
TSE00731,tzh,ahnib,n2.,,,,,,TSE00711,,,,,,,ahn -ib,,,,,alternancia H: <anib>,,,
TSE00741,tzh,ahnimaj,agt.i.v.,,,,[ya x'ahnimaj yo'tan](TSE00743),,,,,,,[ahnimal](TSE00761),,ahn -im -aj,,,,,alternancia H: <animaj>,"Aguacatenango <anmaj>; Amatenango [ts'itet](TSE64301) ('correr'); Bachajón(San Jerónimo), Petalcingo [ahnumaj](TSE00811); Bachajón (San Sebastián) [ahnimaj](TSE00741) Oxchuc [alimaj](TSE00742)",,
TSE00742,tzh,alimaj,agt.i.v.,,,,,,,Oxchuc,,TSE00741,,,,,,,,,,,,"aelimaj, aelmaj, elmaj"
TSE00743,tzh,ya x'ahnimaj yo'tan,phr.(i.v.+subj.NP),,,,,,TSE00741 ; TSE46881,,,,,,,,,,,,,,,
TSE00751,tzh,ahnimal,n.,,,,,,,,,,,,,ahn -im -al,,,,,alternancia H: <animal>,"Aguacatenango <anmal>; Amatenango [alawej](TSE01901); Bachajón(San Jerónimo), Petalcingo [ahnumal](TSE00821); Bachajón (San Sebastián) [ahnimal](TSE00751); Oxchuc [alimal](TSE00762)",,
TSE00761,tzh,ahnimal,act.n.,,,,,,,,,TSE00741 ; TSE00751,,,,ahn -im -al,,,,,alternancia H: <animal>,"Bachajón(San Jerónimo), Petalcingo <ahnumal>; Oxchuc [alimal](TSE00762)",,
TSE00762,tzh,alimal,n./act.n./adv.,,,,,,,Oxchuc,,TSE00742 ; TSE00751 ; TSE00761,,,,,,,,,,,,"aelimal, aelmal, elmal"
TSE00763,tzh,alimaltik,adv.,,,,,,TSE00762,Oxchuc,,TSE00772,,,,,,,,,,,,"aelimaltik, aelmaltik, elmaltik"
TSE00771,tzh,ahnimal,adv.,,,,,,,,[ahnimaltik](TSE00772),TSE00751,,,,ahn -im -al,,,,,alternancia H: <animal>,,,
TSE00772,tzh,ahnimaltik,adv.,,,,,,TSE00771,,,,,,,ahn -im -al -tik,,,,,alternancia H: <animaltik>,Oxchuc [alimaltik](TSE00763); Petalcingo [ahnumaltik](TSE00822),,
TSE00781,tzh,ahnimal,inc.adv.,,,,,,,,,TSE00751 ; TSE00801,,,,ahn -im -al,,,,,alternancia H: <animal>,,,"anima, anim, ani"
TSE00791,tzh,ahntes,t.v.,,,,,,TSE00711,,,,,,,ahn -tes,,,,,alternancia H: <antes>,,,
TSE00801,tzh,ahnu,inc.adv.,,,,,,,"Bachajón, Petalcingo",,,de [ahnumal](TSE00821),,,ahn -u,,,,,,,,
TSE00811,tzh,ahnumaj,agt.i.v.,,,,,,,"Bachajón(San Jerónimo), Petalcingo",,TSE00741,,,,ahn -um -aj,,,,,,,,
TSE00821,tzh,ahnumal,n./act.n./adv.,,,,,,,"Bachajón(San Jerónimo), Petalcingo",[ahnumaltik](TSE00822); [ahnimal](TSE00751),,,,,ahn -um -al,,,,,,,,
TSE00822,tzh,ahnumaltik,adv.,,,,,,TSE00821,Petalcingo,,TSE00772,,,,ahn -um -al -tik,,,,,,,,
TSE00831,tzh,ahnutay,t.v.,,,,,,,,,,,,,ahn -utay,,,,,"alternancia H, -Y: <ahnuta, anutay,...>","Cancuc, Tenango <anutay>; Oxchuc, Tenejapa, Villa Las Rosas [antay](TSE02331)",,
TSE00841,tzh,ah'on,expr.,,,,,,,,,,,,,'ah -REDUPL:C1on,,,,,"alternancia H, O/U: <ah'un, aj'on, aj'un>",,,
TSE00851,tzh,ahtal,n.,,,,,,,,,,,,[ahtalel](TSE00911),aht -al,,,,,alternancia H: <ajtal>,,,
TSE00861,tzh,ahtal,act.n.,,,,[ahtal ta yo'tan](TSE00881),,,,,TSE00851 ; TSE00871,,,,,,,,,alternancia H: <ajtal>,,,
TSE00871,tzh,ahtal o'tan,inc.act.n.,,,,,,TSE00861 ; TSE46881,"Amatenango, Bachajón",,TSE41411,,,,ahtal + o'tan,,,,,alternancia H: <ajtal o'tan>,,,
TSE00881,tzh,ahtal ta yo'tan,phr.(n.v.p.+PP),,,,,,TSE00861 ; TSE46881 ; TSE56851,,,,,,,,,,,,,,,
TSE00891,tzh,ahtal uh,n.,,,,,,TSE00861 ; TSE68291,,,,,,,aht -al + uh,,,,,alternancia H: <ajtal u>,,,
TSE00901,tzh,ahtalaj,agt.i.v.,,,,,,TSE00861,"Bachajón, Oxchuc, Tenejapa",,,,,,aht -al -aj,,,,,alternancia H: <ajtalaj>,var. Tenejapa <ajtalej>,,
TSE00911,tzh,ahtalel,n2.,,,"ahtalil, ahtalul, ahtalal",,,TSE00851,,,,,,,aht -al -el,,,,,"alternancia H: <ajtalel, ajtalil,...>",,,
TSE00921,tzh,ahtay,t.v.,,,,,,,,,,,,,aht -ay,,,,,"alternancia H, -Y: <ajtay, ajta>",,,
TSE00931,tzh,ahts'es,t.v.,,,,,,TSE00371,,,,,,,ahch' -es,,,,,"alternancia H: <ajts'es, ats'es,...>","var. Cancuc, Oxchuc, Tenejapa [ajch'es](TSE00932)",,
TSE00932,tzh,ajch'es,t.v.,,,,,,TSE00371,"Cancuc, Oxchuc, Tenejapa",,TSE00931,,,,ajch' -es,,,,,,,,
TSE00933,tzh,ahts'esib,n2.,,,,,,TSE00931,,,,,,-al,ahch' -es -ib,-al,,,,alternancia H: <ajts'esib>,,,
TSE00941,tzh,ahw,i.v.,,,,,,TSE02841,,,,,,,aw -h-,,,,,alternancia H: <aw>,,,
TSE00951,tzh,ahyin,n.,,,x'ahyin,,,,,,,,,,,,,,,alternancia H: <ayin>,"Abasolo, Cancuc, Tenejapa [ain](TSE00961); Copanaguatla <ahin>; Chilón, Yajalón [ayin](TSE03291)",,
TSE00961,tzh,ain,n.,,,x'ain,,,,"Abasolo, Cancuc, Tenejapa",,TSE00951,,,,,,,,,,,,
TSE00971,tzh,a'inte',n.,,,,,,,Villa Las Rosas,,,,,,a'in + te',,,,,,,,
TSE00981,tzh,a'iy,t.v.,,,,[la ya'iy stojol](TSE35181),,,,,,,,,,,,,,alternancia -Y: <a'i>,,,"a'y, a'ay, ay"
TSE00991,tzh,ajachab,n.,,,,,,TSE01051 ; TSE08051,,,,,,,ajaw + chab,,,,,,,,
TSE01001,tzh,ajachan,n.,,,,,,TSE01051 ; TSE09431,,,,,,,ajaw + chan,,,,,,,,"Oxchuc, Tenejapa <ajaw chan>"
TSE01011,tzh,ajan,n.,,,,,,,,,,,,"-il, -ul",,,,,,,,,
TSE01021,tzh,ajate',n.,,,,,,TSE01051 ; TSE58281,Tenejapa,,,,,"-al, -il, -ul",ajaw + te',,,,,,"Amatenango, Cancuc, Oxchuc [ajte'](TSE01311)",,
TSE01031,tzh,ajate'altik,coll.,,,,,,TSE01021,Tenejapa,,,,,,ajaw + te' -al -tik,,,,,,,,
TSE01041,tzh,aja'us,n.,,,,,,TSE01051 ; TSE68931,Bachajón,,,,,,ajaw + 'us,,,,,,Copanaguatla [usij](TSE68971); Petalcingo [ujis](TSE68511); Tenejapa [usel](TSE68961),,
TSE01051,tzh,ajaw,n.,,,,,,,,,,,,-il,,,,,,,,,
TSE01061,tzh,ajaw chab,n.,,,,,,TSE01051 ; TSE08051,"Petalcingo, Yajalón",,,,,,ajaw + chab,,,,,,,,Bachajón <ajachab>
TSE01071,tzh,ajil ch'ak,n.,,,,,,,"Cancuc, Oxchuc, Tenejapa",,TSE00891,,,,"aj -il ch'ak (quizás ""pulga de carrizo"", véase <aj> 'carrizo' en tsotsil)",,,,,,,,
TSE01081,tzh,ajk',n.,,,,,,,,,TSE72171,,,,,,,,,,,,
TSE01091,tzh,ajk',def.num.clas./adv.,,,,,,,,,,de [j'ahk'](TSE20371),,,,,,,,,,,
TSE01101,tzh,ajk',num.clas.,,,,,,,Tenejapa,,,,,,,,,,,,,,
TSE01111,tzh,ajk'abal tokal,n.,,,,,,TSE00451 ; TSE60731,Cancuc,,,,,,ajk'ab -al + tok -al,,,,,,,,
TSE01121,tzh,ajk'alts'in,adv.,,,,,,,Center,,,,,,ajk' -al + ts'in,,,,,,"[jujuts'ihn](TSE25931); Guaquitepec, Sitalá [ajk'ats'in](TSE01122); Villa Las Rosas [ts'in ak'](TSE63941), <ts'intik ak'>",,ajk'ts'in
TSE01122,tzh,ajk'ats'in,adv.,,,,,,,"Guaquitepec, Sitalá",,TSE01121 ; TSE25931,,,,ajk' -al + ts'in,,,,,,,,
TSE01131,tzh,ajk'ot,n./act.n.,,,,,,,,,TSE00551,,,,,,,,,,,,
TSE01141,tzh,ajk'ot wakax,n.,,,,,,,"Cancuc, Tenejapa",,,,,-ul,ajk'ot + wakax,,,,,,Guaquitepec [toryal](TSE61181); Petalcingo <wakax pohp>; Villa Las Rosas <tajmal wakax>,,
TSE01151,tzh,ajk'ubal,n.,,,,[ch'ul ajk'ubal](TSE15241),,,"Center, Amatenango",,,,,-il,ajk'ub -al,,,,,,[ahk'abal](TSE00451); var. Cancuc <ajk'obal; var. Oxchuc ajk'bal>,,
TSE01161,tzh,ajk'ubal toytoy,n.,,,,,,TSE01151 ; TSE61481,Tenejapa,,,,,,ajk'ub -al + toytoy,,,,,,,,
TSE01171,tzh,ajk'ubaltik,adv.,,,,,,TSE01151,"Amatenango, Tenejapa",,TSE00461,,,,ajk'ub -al -tik,,,,,,,,
TSE01181,tzh,ajk'ubey,adv.,,,,,,,"Center, Amatenango",,TSE00471,,,,ajk'ub -ey,,,,,alternancia -Y: <ajk'ube>,,,
TSE01191,tzh,ajmul,n2.,,,,,,,,,,,,,aj- mul,,,,,,,,
TSE01201,tzh,ajmulil,n.,,,,,,TSE01191,Bachajón,,,,,,aj- mul -il,,,,,,,,
TSE01211,tzh,ajmulin,t.v.,,,,,,TSE01191,,,,,,,aj -mul -in,,,,,,,,
TSE01221,tzh,ajmuliy,t.v.,,,,,,TSE01191,Bachajón,,,,,,aj- mul -iy,,,,,,,,
TSE01231,tzh,ajmuliy,i.v.,,,,,,TSE01191,Bachajón,,TSE01221,,,,aj- mul -iy,,,,,,,,ajmulij
TSE01241,tzh,ajoj,n.,,,,,,,Tenejapa,,TSE15051,,,,,,,,,,Amatenango [woy](TSE71821); Oxchuc [ajow](TSE01251),,
TSE01251,tzh,ajow,n.,,,,,,,Oxchuc,,TSE01241,,,,,,,,,,,,
TSE01261,tzh,ajtal,n.,,,,,,,,,TSE00851,,,,,,,,,,,,
TSE01271,tzh,ajtal chajp,n.v.p.,,,,,,,Center,,,,,,ajtal + chap -j-,,,,,,,,
TSE01281,tzh,ajtal k'aal,n.,,,,,,,"Cancuc, Oxchuc",,TSE00891,,,,ajt -al + k'aal,,,,,,,,Tenejapa <ajtal k'al>
TSE01291,tzh,ajtal kum,n.v.p.,,,,,,,Center,,,,,,ajt -al + kum,,,,,,,,ajtakum
TSE01301,tzh,ajtal ten,n.v.p.,,,,,,,Center,,,,,,aht -al + ten,,,,,,,,ajtaten
TSE01311,tzh,ajte',n.,,,,,,,"Amatenango, Cancuc, Oxchuc",,,,,,ajaw + te',,,,,,[ajate'](TSE01021),,
TSE01321,tzh,ajwal,n2.,,,,[yajwal wits](TSE75621),,TSE01051,,,TSE27881,,,[ajwalul](TSE01323),ajaw -al,[ajwalil](TSE01341),,,,,,,
TSE01323,tzh,ajwalul,n2.,,,,,,TSE01321,,,,,,,ajaw -al -ul,,,,,,,,"ajwalel, ajwalil"
TSE01331,tzh,ajwal k'optay,t.v.,,,,,,TSE01321 ; TSE32441,,,,,,,ajaw -al + k'op -tay,,,,,alternancia -Y: <ajwal k'opta>,,,
TSE01341,tzh,ajwalil,n.,,,,,,TSE01321,,,,,,,ajaw -al -il,,,,,,,,
TSE01351,tzh,ak,n.,,,,,,,,,,,,[akul](TSE01352),,,,,,,,,
TSE01352,tzh,akul,n2.,,,,,,TSE01351,,,,,,,ak -ul,,,,,,,,"akil, akilel, akilal"
TSE01353,tzh,akub,i.v.,,,,,,TSE01351,,,,,,,ak -ub,,,,,,,,
TSE01354,tzh,akul nah,n.,,,,,,TSE01352 ; TSE43351,,,,,,,ak -ul + nah,,,,,"alternancia H: <akul naj, akul na>",,,
TSE01361,tzh,ak,adv.,,,,,,,Tenango,,,,,,,,,,,,[ek](TSE16351),,
TSE01371,tzh,ak',n.,,,,,,,,,,,,[ak'ul](TSE01372),,,,,,,,,
TSE01372,tzh,ak'ul,n2.,,,,,,TSE01371,,,,,,,ak' -ul,,,,,,,,ak'il
TSE01381,tzh,ak',n2.,,,,,,,,,,,,,,-il,,,,,,,
TSE01391,tzh,ak',t.v.,,,,[la yak' may](TSE35191); [la yak' ta k'ajk'](TSE35201); [la yak' ta wenta](TSE35211),,,,,,,,,,,,,,,,,
TSE01401,tzh,ak'a slajin stsa,phr.(t.v.+obj.NP),,,,,,TSE01391 ; TSE35701 ; TSE61531,,,,,,,,,,,,,,,
TSE01411,tzh,ak'al,n.,,,,[yawil ak'al](TSE76141),,,,,,,,"-el, -il, -ul",,,,,,,,,
TSE01421,tzh,ak'alub,i.v.,,,,,,TSE01411,,,,,,,ak'al -ub,,,,,,,,
TSE01431,tzh,ak'alubtes,t.v.,,,,,,TSE01421,,,,,,,ak'al -ub -tes,,,,,,,,
TSE01441,tzh,akan,n2.,,,,[yakan sk'ab](TSE75681); [yakan k'abalil](TSE75661),,,,,,,,,,-il,,,,,,,
TSE01451,tzh,ak'el,n2.,,,,,,TSE01391,"Guaquitepec, Tenejapa",,,,,,ak' -el,,,,,,,,
TSE01461,tzh,ak'en,n.,,,,,,,,,,,,,,,,,,,,,
TSE01471,tzh,ak'entay,t.v.,,,,,,TSE01461,"Center, Guaquitepec, Petalcingo",,TSE01531,,,,ak'en -tay,,,,,alternancia -Y: <ak'enta>,,,
