ID,Language_ID,Headword,Part_Of_Speech,Abstract_Noun,Agentive_Noun,Alternative_Form,Associated_Phrasemes,Attributive,Contains,Dialectal_Distribution,Diffusive_Form,Entry_IDs,Etymology,Infinitive,MarkedPossession,Morphological_Segmentation,NonPossessed_Form,Phonetic_Form,Plural,Possessed_Plural,Predictable_Dialectal_Variants,Related_Dialectal_Form,Source,Variant_Form
TSE56431,tzh,sujub,n.,,,,,,,Guaquitepec,,,,,-il,suj -ub,,,,,,,,
TSE56441,tzh,sujul,pos.adj.,,,,,,,"Tenejapa, Yajalón",,,,,,suj -ul,,,sujajtik,,,,,
TSE56451,tzh,suk,t.v.,,,,,,,,,,,,,,,,,,,,,
TSE56461,tzh,suk',t.v.,,,,,,,,,,,,,,,,,,,,,
TSE56471,tzh,suk'oti',n2.,,,suk'uti',,,,,,,,,,suk' -o + ti',-il,,,,,,,
TSE56481,tzh,sukul,pos.adj.,,,,,,TSE56451,"Bachajón, Petalcingo, Tenejapa, Villa Las Rosas",,,,,,suk -ul,,,sukajtik,,,,,
TSE56491,tzh,sul,t.v.,,,,,,,"Bachajón, Petalcingo, Tenejapa",,,,,,,,,,,,,,
TSE56501,tzh,sulte',n.,,,,,,,,,,,,,sul + te',,,,,,,,
TSE56511,tzh,sulul,pos.adj.,,,,,,,Petalcingo,,,,,,sul -ul,,,sulajtik,,,,,
TSE56521,tzh,sum,t.v.,,,,,,,"Bachajón, Cancuc, Oxchuc, Tenejapa",,,,,,,,,,,,,,
TSE56531,tzh,sumet,adj.,"-al, -il",,,,,,Bachajón,,,,,,sum -et (?),,,,,,,,
TSE56541,tzh,sumul,pos.adj.,,,,,,,Center,,,,,,sum -ul,,,sumajtik,,,"Bachajón, Guaquitepec, Petalcingo, Villa Las Rosas, Yajalón [somol](TSE55861)",,
TSE56551,tzh,sun,n.,,,,,,,,,,,,,,,,,,,,,
TSE56561,tzh,sunul,n.,,,,,,,,,,,,,,,,,,,Guaquitepec <sunun>,,
TSE56571,tzh,sup,adj.,-il,,,,,,,[supsuptik](TSE56572),,,,,,,,,,,,,
TSE56572,tzh,supsuptik,diff.adj.,,,,,,TSE56571,,,,,,,sup -REDUPL:C1VC2 -tik,,,,,,Oxchuc supuptik,,
TSE56581,tzh,sup',t.v.,,,,,,,Petalcingo,,,,,,,,,,,,,,
TSE56591,tzh,supul,n.,,,,,,,,,,,,,,,,,,,,,
TSE56601,tzh,sup'ul,pos.adj.,,,,,,,Petalcingo,,,,,,sup' -ul,,,sup'ajtik,,,,,
TSE56611,tzh,surin,n.,,,,,,,Petalcingo,,,,,,,,,,,,,,
TSE56621,tzh,sustat,interj.,,,,,,,Petalcingo,,,,,,,,,,,,,,
TSE56631,tzh,sut,t.v.,,,,,,,,,,,,,,,,,,,,,
TSE56641,tzh,sut',adj.,-il,,,,,,"Bachajón, Petalcingo",,TSE56671,,,,,,,,,,,,
TSE56651,tzh,sut',t.v.,,,,,,,,,,,,,,,,,,,,,
TSE56661,tzh,sutet,expr.,,,sututet,,,TSE56631,,,,,,,sut -et,,,,,,,,
TSE56671,tzh,sut'il,n.,,,,,,TSE56641,Guaquitepec,,,,,,sut' -il,,,,,,,,
TSE56681,tzh,sutinaj,expr.,,,,,,TSE56631,,,,,,,sut -inaj,,,,,,,,
TSE56691,tzh,sutlajan,expr.,,,,,,TSE56631,,,,,,,sut -lajan,,,,,,,,
TSE56701,tzh,sutp'ij,i.v.,,,,,,TSE56631,,,,,,,sut -p'ij,,,,,"alternancia P', -Vj: <sutp'ej, Oxchuc sutbej>",,,
TSE56711,tzh,sutp'in,t.v.,,,,,,TSE56631,,,,,,,sut -p'in,,,,,alternancia P': Oxchuc <sutbin>,,,
TSE56721,tzh,suts'ul,n.,,,,,,,,,,,,,,,,,,,,,
TSE56731,tzh,sutubaj,agt.i.v.,,,,,,TSE56631,,,,,,,sut -ub -aj ’’’’,,,,,,,,
TSE56741,tzh,sutu'ik',n.,,,,,,,,,,,,,sut -u + 'ik',,,,,,,,
TSE56751,tzh,sut'ul,pos.adj.,,,,,,,,,,,,,sut' -ul,,,sut'ajtik,,,,,
TSE56761,tzh,sutut-ik',n.,,,,,,TSE18991 ; TSE56631,"Oxchuc, Tenejapa, Villa Las Rosas",,,,,,sut -REDUPL:VC2 + 'ik',,,,,,"Aguacatenango, var. Oxchuc <sut-ik'>; Bachajón, Petalcingo [sutu'ik'](TSE56741); Guaquitepec <sutub'ik'>; var. Tenejapa <suto'ik'>",,
TSE56771,tzh,suy,i.v.,,,,,,,Tenejapa,,,,,,,,,,,,,,
TSE56781,tzh,suy,pred.adj.,,,,,,,Villa Las Rosas,,,,,,,,,,,,,,
TSE56791,tzh,suy,n.,,,suyton,,,,,,,,,,,,,,,,,,
TSE56801,tzh,suy,t.v.,,,,,,,Cancuc,,,,,,,,,,,,,,
TSE56811,tzh,suyub,i.v.,,,,,,TSE56771,Tenejapa,,,,,,suy -ub,,,,,,,,
TSE56821,tzh,suyub,i.v.,,,,,,,Villa Las Rosas,,,,,,suy -ub,,,,,,,,
TSE56831,tzh,suyubtes,t.v.,,,,,,TSE56811,Villa Las Rosas,,,,,,suy -ub -tes,,,,,,,,
TSE56841,tzh,swoloj yal,phr.(t.v.+obj.NP),,,,,,TSE01701 ; TSE71581,"Bachajón, Guaquitepec",,,,,,,,,,,,,,
TSE56851,tzh,ta,prep.,,,,,,,,,,,,,,,,,,,,,
TSE56852,tzh,ta,interj.,,,,,,,Petalcingo,,TSE41721,de [tat](TSE57961),,,,,,,,,,,
TSE56861,tzh,ta bael sitil,adv.phr.(PP),,,,,,TSE03571 ; TSE55241 ; TSE56851,Tenejapa,,,,,,,,,,,,,,
TSE56871,tzh,ta sk'op,adv.phr.(PP),,,,,,TSE32441 ; TSE56851,,,,,,,,,,,,,,,
TSE56881,tzh,ta'aj,i.v.,,,,,,,,,,,,,ta' -aj,,,,,,,,
TSE56891,tzh,ta'ajtes,t.v.,,,,,,TSE56881,,,,,,,ta' -aj -tes,,,,,,,,
TSE56901,tzh,ta'ak,n.,,,,,,,"Cancuc, Guaquitepec",,,,,,ta + 'ak 'zacate navaja',,,,,,,,
TSE56911,tzh,ta'al,pos.adj.,,,,,,,Tenejapa,,,,,,ta'al,,,ta'ajtik,,,,,
TSE56921,tzh,taan,n2.,,,,,,,"Cancuc, Oxchuc",,,,,,,,,,,,,,
TSE56931,tzh,tab,num.,,,,,,,,,,,,,,,,,,,,,
TSE56941,tzh,t'abel,n.v.p.,,,,,,,Tenejapa,[t'abeltik](TSE56942),,,,,t'ab -el,,,,,,,,
TSE56942,tzh,t'abeltik,adv.,,,,,,TSE56941,Tenejapa,,,,,,t'ab -el -tik,,,,,,,,
TSE56951,tzh,tach,t.v.,,,,,,,Amatenango,,,,,,,,,,,,,,
TSE56961,tzh,tachal,pos.adj.,,,,,,,Tenejapa,,,,,,tach -al,,,tachajtik,,,,,
TSE56971,tzh,tachal,pos.adj.,,,,,,,Amatenango,,,,,,tach -al,,,tachajtik,,,,,
TSE56981,tzh,tach'al,pos.adj.,,,,,,,Petalcingo,,,,,,tach' -al,,,tach'ajtik,,,,,
TSE56991,tzh,tachp'oj,i.v.,,,,,,,Amatenango,,,,,,tach -p'oj,,,,,,,,
TSE57001,tzh,tachp'un,i.v.,,,,,,,Amatenango,,,,,,tach -p'un,,,,,,,,
TSE57011,tzh,tah,n.,,,,,,,Copanaguatla,,,,,,,,,,,,,,
TSE57021,tzh,tah,t.v.,,,,,,,,,,,,,,,,,,"alternancia H: <taj, ta>",,,
TSE57031,tzh,tah,part.,,,,,,,Bachajón,,,,,,,,,,,,,,
TSE57041,tzh,tahaw,act.n.,,[jtahaw](TSE57042),,,,,,,,,,,tah -aw,,,,,"alternancia H: <tajaw, taaw>",,,
TSE57042,tzh,jtahaw,n.,,,,,,TSE57041,"Bachajón, Petalcingo",,,,,,j- tah -aw,,,,,,,,
TSE57051,tzh,tahawan,agt.i.v.,,,,,,,Bachajón,,,,,,tah -aw -an,,,,,,,,
TSE57061,tzh,t'ahb,i.v.,,,,,,,"Bachajón, Petalcingo, Tenejapa",,,,,,,,,,,alternancia H: <t'ab>,,,
TSE57071,tzh,tahbaj,i.v.,,,,[tahbaj la ya'i](TSE57081),,,,,,,,,tah -baj,,,,,alternancia H: <tabaj>,,,
TSE57081,tzh,tahbaj la ya'i,phr.(i.v.+VP),,,,,,TSE00981 ; TSE57071,Petalcingo,,,,,,,,,,,,,,
TSE57091,tzh,tahn,n2.,,,,[stahn sk'ab](TSE56071); [stahn yok](TSE56081),,,,,,,,,,,,,,alternancia H: <tan>,"Cancuc, Oxchuc [taan](TSE56921)",,
TSE57101,tzh,tahnaj,i.v.,,,,,,,"Petalcingo, Yajalón",,,,,,tan -h- -aj,,,,,alternancia H: <tanaj>,,,
